time,cpu,freq_hz,package
198,30,2799999.0,1
198,31,2800000.0,1
198,32,2919846.0,0
198,33,2799928.0,0
198,34,2911110.0,0
198,35,2946865.0,0
198,36,2819144.0,0
198,37,2856449.0,0
198,38,2792430.0,0
198,39,3090062.0,0
198,40,2793377.0,0
198,41,2839412.0,0
198,42,2681501.0,0
198,43,2741128.0,0
198,44,2860045.0,0
198,45,2737823.0,0
198,46,2727158.0,0
198,47,2802091.0,0
198,48,2800000.0,1
198,49,2799985.0,1
198,50,2800001.0,1
198,51,2799999.0,1
198,52,2799998.0,1
198,53,2800002.0,1
198,54,2800002.0,1
198,55,2799999.0,1
198,56,2800016.0,1
198,57,2800000.0,1
198,58,2799998.0,1
198,59,2800000.0,1
198,60,2799999.0,1
198,61,2800002.0,1
198,62,2799997.0,1
198,63,2800001.0,1
201,0,3040671.0,0
201,1,3093534.0,0
201,2,2774510.0,0
201,3,2799509.0,0
201,4,2854193.0,0
201,5,3106777.0,0
201,6,2810748.0,0
201,7,2860820.0,0
201,8,2985501.0,0
201,9,2651558.0,0
201,10,2930701.0,0
201,11,3169386.0,0
201,12,3017624.0,0
201,13,3004646.0,0
201,14,3147971.0,0
201,15,2878442.0,0
201,16,2800050.0,1
201,17,2799998.0,1
201,18,2799999.0,1
201,19,2799947.0,1
201,20,2799999.0,1
201,21,2799996.0,1
201,22,2800000.0,1
201,23,2800052.0,1
201,24,2800000.0,1
201,25,2800003.0,1
201,26,2800002.0,1
201,27,2800001.0,1
201,28,2799999.0,1
201,29,2799998.0,1
201,30,2800000.0,1
201,31,2800002.0,1
201,32,2887760.0,0
201,33,2798826.0,0
201,34,2801918.0,0
201,35,3229155.0,0
201,36,2930627.0,0
201,37,3108297.0,0
201,38,2802887.0,0
201,39,3191061.0,0
201,40,2845907.0,0
201,41,2617614.0,0
201,42,2788819.0,0
201,43,3153047.0,0
201,44,2957099.0,0
201,45,2915611.0,0
201,46,3237623.0,0
201,47,3131045.0,0
201,48,2800000.0,1
201,49,2799879.0,1
201,50,2800000.0,1
201,51,2799999.0,1
201,52,2799999.0,1
201,53,2799998.0,1
201,54,2800027.0,1
201,55,2799997.0,1
201,56,2799956.0,1
201,57,2799999.0,1
201,58,2799999.0,1
201,59,2800002.0,1
201,60,2799997.0,1
201,61,2800003.0,1
201,62,2800077.0,1
201,63,2799998.0,1
204,0,3032339.0,0
204,1,2953216.0,0
204,2,3128258.0,0
204,3,2907104.0,0
204,4,2812742.0,0
204,5,3161124.0,0
204,6,2972748.0,0
204,7,2898411.0,0
204,8,2905346.0,0
204,9,2996710.0,0
204,10,2848369.0,0
204,11,2886297.0,0
204,12,2819020.0,0
204,13,2881176.0,0
204,14,3146526.0,0
204,15,2869846.0,0
204,16,2799995.0,1
204,17,2800000.0,1
204,18,2799995.0,1
204,19,2799999.0,1
204,20,2800000.0,1
204,21,2800000.0,1
204,22,2800000.0,1
204,23,2799999.0,1
204,24,2800000.0,1
204,25,2799999.0,1
204,26,2799999.0,1
204,27,2800000.0,1
204,28,2799999.0,1
204,29,2799999.0,1
204,30,2799999.0,1
204,31,2799999.0,1
204,32,2843580.0,0
204,33,2889336.0,0
204,34,2800071.0,0
204,35,2824052.0,0
204,36,2862135.0,0
204,37,2841168.0,0
204,38,2799550.0,0
204,39,3145567.0,0
204,40,2824156.0,0
204,41,2900190.0,0
204,42,2911889.0,0
204,43,2803381.0,0
204,44,2895919.0,0
204,45,2821913.0,0
204,46,2861965.0,0
204,47,2950373.0,0
204,48,2800000.0,1
204,49,2800000.0,1
204,50,2800000.0,1
204,51,2799999.0,1
204,52,2800000.0,1
204,53,2800000.0,1
204,54,2799997.0,1
