time,package,value
633,1.0,151.03399999999965
633,0.0,284.0509999999995
636,0.0,255.9690000000046
636,1.0,137.20100000000093
639,0.0,251.97000000000116
639,1.0,134.99899999999616
642,1.0,136.74499999999534
642,0.0,252.72899999999936
645,1.0,156.16300000000047
645,0.0,278.650999999998
648,1.0,142.5679999999993
648,0.0,216.84100000000035
651,0.0,157.99399999999878
651,1.0,131.4320000000007
654,0.0,184.2520000000004
654,1.0,138.12700000000768
657,1.0,146.00999999999476
657,0.0,249.79099999999744
660,0.0,276.5590000000011
660,1.0,145.1579999999958
663,1.0,141.71400000000722
663,0.0,275.5920000000042
666,0.0,263.44199999999546
666,1.0,130.85499999999593
669,0.0,308.58600000000297
669,1.0,155.1009999999951
672,0.0,266.70100000000093
672,1.0,138.39600000000792
675,0.0,262.8159999999989
675,1.0,139.24799999999232
678,1.0,138.50900000000547
678,0.0,223.47099999999773
681,1.0,148.47500000000582
681,0.0,208.65299999999843
684,1.0,148.46199999999953
684,0.0,174.38000000000466
687,0.0,178.58899999999994
687,1.0,131.37799999999697
690,0.0,247.1359999999986
690,1.0,146.85899999999674
693,0.0,296.33899999999994
693,1.0,147.36699999999837
696,1.0,134.1429999999964
696,0.0,273.76600000000326
699,0.0,282.7239999999947
699,1.0,138.77300000000105
702,1.0,143.60800000000745
702,0.0,294.31200000000536
705,1.0,152.3399999999965
705,0.0,306.4319999999934
708,1.0,142.67799999999988
708,0.0,295.64100000000326
711,1.0,126.95299999999406
711,0.0,256.2609999999986
714,0.0,250.76400000000285
714,1.0,148.90600000000268
717,1.0,145.83299999999872
717,0.0,197.7019999999975
720,1.0,152.65899999999965
720,0.0,173.04899999999907
723,1.0,136.01400000001013
723,0.0,189.47699999999895
726,1.0,139.84599999999045
726,0.0,246.05400000000373
729,0.0,328.7779999999984
729,1.0,148.31200000000536
732,0.0,302.5400000000009
732,1.0,137.2670000000071
735,0.0,305.0500000000029
735,1.0,146.7719999999972
738,1.0,136.1009999999951
738,0.0,303.8119999999981
741,0.0,322.640999999996
741,1.0,142.97299999999814
744,1.0,144.20799999999872
744,0.0,323.7130000000034
747,1.0,131.99199999999837
747,0.0,278.99899999999616
750,1.0,145.13300000000163
750,0.0,272.0610000000015
753,1.0,151.16800000000512
753,0.0,246.85900000000402
756,0.0,176.33399999999529
756,1.0,147.03599999999278
759,0.0,177.12099999999919
759,1.0,134.49400000000605
762,1.0,142.81500000000233
762,0.0,275.7960000000021
765,0.0,335.2479999999996
765,1.0,147.51900000000023
768,1.0,142.75100000000384
